Year,Contribution,Contributed,Balance,Benefit
1,0,1000,1061.68,61.68
2,0,1000,1127.16,127.16
3,0,1000,1196.68,196.68
4,0,1000,1270.49,270.49
5,0,1000,1348.85,348.85
6,0,1000,1432.04,432.04
7,0,1000,1520.37,520.37
8,0,1000,1614.14,614.14
9,0,1000,1713.7,713.7
10,0,1000,1819.4,819.4
11,0,1000,1931.61,931.61
12,0,1000,2050.75,1050.75
13,0,1000,2177.24,1177.24
14,0,1000,2311.52,1311.52
15,0,1000,2454.09,1454.09
16,0,1000,2605.46,1605.46
17,0,1000,2766.16,1766.16
18,0,1000,2936.77,1936.77
19,0,1000,3117.9,2117.9
20,0,1000,3310.2,2310.2
21,0,1000,3514.37,2514.37
22,0,1000,3731.13,2731.13
23,0,1000,3961.26,2961.26
24,0,1000,4205.58,3205.58
25,0,1000,4464.97,3464.97
26,0,1000,4740.36,3740.36
27,0,1000,5032.73,4032.73
28,0,1000,5343.14,4343.14
29,0,1000,5672.7,4672.7
30,0,1000,6022.58,5022.58
