Loan Years,Balance,Full Invested,Second Init
15,205986.16104778615,15,568.5181938753456
16,211814.41245667398,14,11803.040562561597
17,217470.48747229623,13,23806.91722322684
18,222959.49390808598,12,36629.92772633167
19,228286.38746750692,11,50324.99313023081
20,233455.97628537478,10,64948.37195026778
21,238472.925333518,9,80559.86826092967
22,243341.76069482684,8,97223.05270271085
23,248066.87370961573,7,115005.49719175458
24,252652.52499811133,6,133979.0241796331
25,257102.84836276085,5,154219.9713629562
26,261421.85457394854,4,175809.47279805964
27,265613.43504259817,3,198833.7574350137
28,269681.36538303987,2,223384.46614782407
