Year,Contribution,Contributed,Balance,Benefit
1,3188.532889336747,3188.532889336747,3294.08,105.55
2,3188.532889336747,6377.065778673494,6791.34,414.27
3,3188.532889336747,9565.59866801024,10504.3,938.7
4,3188.532889336747,12754.131557346987,14446.27,1692.13
5,3188.532889336747,15942.664446683735,18631.36,2688.7
6,3188.532889336747,19131.19733602048,23074.59,3943.39
7,3188.532889336747,22319.730225357227,27791.86,5472.13
8,3188.532889336747,25508.263114693975,32800.09,7291.83
9,3188.532889336747,28696.796004030723,38117.21,9420.41
10,3188.532889336747,31885.32889336747,43762.28,11876.95
11,3188.532889336747,35073.86178270422,49755.53,14681.66
12,3188.532889336747,38262.39467204096,56118.42,17856.03
13,3188.532889336747,41450.927561377706,62873.77,21422.84
14,3188.532889336747,44639.460450714454,70045.77,25406.31
15,3188.532889336747,47827.9933400512,77660.12,29832.13
16,3188.532889336747,51016.52622938795,85744.11,34727.59
17,3188.532889336747,54205.0591187247,94326.7,40121.65
18,3188.532889336747,57393.592008061445,103438.65,46045.06
19,3188.532889336747,60582.12489739819,113112.61,52530.48
20,3188.532889336747,63770.65778673494,123383.23,59612.57
21,3188.532889336747,66959.19067607168,134287.32,67328.13
22,3188.532889336747,70147.72356540844,145863.95,75716.23
23,3188.532889336747,73336.25645474518,158154.61,84818.35
24,3188.532889336747,76524.78934408192,171203.32,94678.53
25,3188.532889336747,79713.32223341867,185056.85,105343.53
26,3188.532889336747,82901.85512275541,199764.84,116862.98
27,3188.532889336747,86090.38801209217,215379.98,129289.59
28,3188.532889336747,89278.92090142891,231958.23,142679.31
29,3188.532889336747,92467.45379076566,249558.99,157091.53
